,name
302,Ayam Cabe Ijo - With Steamed Rice
303,Ayam Penyet - With Steamed Rice
304,Gado-Gado
305,Ayam Bakar - With Steamed White Rice
306,Tahu Telor
307,Fresh Lemon Juice Large
308,Honey Lemon Lime Juice Large
309,Hazelnut Milk Tea Large
310,Hazelnut Milk Tea Large
311,Ovaltine Large
312,Beef Stewed Noodle
313,Lanzhou Tom Yum Beef Noodle
314,Chilli Packet
315,Whole Spring Plate
316,1/2 Spring Plate
317,Indo Chinese Vegetable Combo
318,Nasi Lemak with Chicken Otah Meatloaf
319,Sambal Long Beans
320,Any 5 Buns Bundle
321,Floss Thick Toast
322,Xinzhou Bee Hoon 星洲米粉
323,Hor Fun with Egg Gravy 滑蛋河粉
324,312. Yam Paste 芋泥
325,318. Double Skin Milk 双皮奶
326,306. Almond Paste with Glutinous Rice 杏仁糊黑糯米
327,313. Barley Beanstick with Gingko 腐竹白果薏米
328,Mutton Biryani
329,Garlic Naan
330,Ice Limau
331,Nasi Goreng Combo
332,Signature Bak Chor Mee Pok 肉脞面
333,Signature Bak Chor Mee Pok 肉脞面
334,Bak Chor Soup
335,Red Ruby
336,Signature Original Coconut Shake
337,Mee Rebus
338,Hot
339,SET RICE BRAISED PORK WITH MEI CAI
340,Fried Kuey Teow Kerang
341,Salted Egg Chicken
342,43. Baked Chicken Wing 烤烤翅
343,31. Cheese Fries 奶酪薯条
344,03. With 2 Sides (200g)
345,Baked Beefballs - Creamy Alfredo Sauce
346,A19. Curry Chicken Rice
347,Black Pepper Beef Bento
348,Dried Chili Chicken Bento
349,Exclusive for foodpanda: Personal Pizza Bundle (2pax)
350,Calamari Rings
351,Garlic Bread
352,Fries on Dips
353,Floss Thick Toast
354,Ham & Cheese Sandwich Set
355,Mirchi Ka Salan
356,Bombay-vada Pav Slider
357,Desi Tacos Vegetarian
358,Mural's Briyani Dum Pot
359,Mixed Vegetable Raita
360,Wanton Noodle (Dry)  云吞面
361,Wanton Soup (6pcs) 云吞汤  (6粒)
362,G4  La Mian with Prawn and Pork Wanton in Signature Pork Bone Soup 鲜虾猪肉云吞猪骨汤拉面
363,G12 La Mian in Szechuan Hot and Sour with Seafood (Spicy) 酸辣海鲜汤拉面（辣）
364,G6 La Mian served with Double-boiled Chicken Soup 清炖鸡汤拉面
365,C5 Prawn and Pork Wanton in Signature Pork Bone Soup (6pc) 鲜虾猪肉云吞猪骨汤（六粒）
366,F5 Fried Rice in Yang Zhou Style 扬州炒饭
367,B10 Prawn and Pork Dumpling in Hot Chilli Vinaigrette (6pc) 红油鲜虾猪肉抄手（六粒）
368,F8 Fried Rice with Crispy Pork Chop 香酥猪扒炒饭
369,G2 La Mian with Crispy Pork Chop in Signature Pork Bone Soup 香酥猪扒猪骨汤拉面
370,BK Veggie
371,BK Veggie Meal
372,Paratha Set Meal
373,Viennese Blend Retail
374,Viennese Blend Retail
375,Large
376,Chicken Cutlet Noodle鸡扒面
377,Chicken Cutlet Curry Rice鸡排咖喱饭
378,Mala Xiang Guo Spicy Pot 麻辣香锅
379,Rice 米饭
380,罗勒猪肉饭 Basil Pork Rice
381,(01-85) Basil Chicken /Beef with Rice
382,(01-85) Pineapple Fried Rice
383,(01-85) Basil Chicken /Beef with Rice
384,Normal
385,Plain Prata
386,Iced Bandung
387,Egg Prata
388,Mee Goreng Combo
389,Roti John Chicken 
390,Heaven & Earth Jasmine Green Tea (1.5L)
391,Cinnastix
392,032. Fried Calamari
393,024. Fries with Cheese Sauce
394,002. Half
395,022. Chicken Chop Rice
396,Egg Prata
397,Plain Prata
398,Roti John Chicken
399,8.Mini Steamboat Sliced Fish Soup W Rice
400,8.Mini Steamboat Sliced Fish Soup W Rice
401,8.Mini Steamboat Sliced Fish Soup W Rice
402,8.Mini Steamboat Sliced Fish Soup W Rice
403,Peachy
404,Green Apple Green Tea
405,Ice Kacang 红豆冰
406,Iced Jelly Soursop 红毛榴莲文头雪 
407,Cheng Tng 清汤
408,Mango Sago Pomelo 杨枝甘露
409,红豆冰 Ice Kacang
410,红毛榴莲蝌蚪 Soursop Tadpole
411,红毛榴莲文头雪 Ice Jelly Soursop
412,杨枝甘露 Mango Sago with Pomelo
413,Peachy
414,Pumpkin Rice 金瓜饭
415,Apple & Pear with Pork Ribs Soup 苹果雪梨西施骨汤
416,Mummy ABC Soup 经典ABC汤
417,F4. Spaghetti Bolognese
418,F8. Grilled Fish Pasta
419,Prosperity Abalone Yu Sheng 鲍鱼鱼生 (6 Pax)
420,2x Value Meal - Sausage McGriddles with Egg
421,S1. 100% Pure Sugarcane Juice
422,Ice Bandung
423,Set C (6 Pax)
424,Set C (6 Pax)
425,Store-selected Half Dozen
426,Taro White Pearls Milk Tea
427,Ice Cream Cocoa Lover Milk Tea
428,Avocado Paradise
429,Cupcake (Nutella Speculoos)
430,Cupcake (Red Velvet)
431,Cupcake (Kinder Bueno)
432,Cupcake (Red Velvet Nutella)
433,28. Lamb Chop
434,4. Lucky Plate
435,28. Lamb Chop
436,23. Grilled Fish Aglio Olio
437,B2. Butter Naan
438,H6. Masala Thosai
439,C2. Butter Chicken
440,B5. Cheese Naan
441,C27. Paneer Butter Masala
442,2x Value Meal: Breakfast Deluxe + SME EVM
443,Lamb Steak
444,Chicken Chop
445,Chicken Set Meal
446,Nasi Goreng Ikan Bilis
447,Roti John Mutton
448,Nasi Goreng with Ikan Bilis
449,Set Meal 1
450,Roti John Mutton
451,G8. Mutton Soup with Plain Rice
452,Mee Rebus
453,Chicken Wing
454,Laksa (Prawns)
455,Popiah Prawn
456,Chee Cheong Fun
457,Soon Kueh
458,Chee Cheong Fun & Soon Kueh
459,Roasted Chicken Rice
460,Oyster Sauce Vegetable 蚝油蔬菜
461,A13. Kampung Fried Rice
462,B1. Crispy Noodle
463,A17. Sweet & Sour Chicken Rice
464,B5. Hor Fun
465,Falafel (Vegetarian)
466,Spanish Tuna Loin & Tomato Salad
467,Squid Ink Paella
468,Octopus Galician Style
469,20 Pieces Classic Wings
470,Fried Wanton
471,Chicken Rice
472,Soda Gembira
473,Ayam Penyet - With Steamed Rice
474,Masala Thosai
475,Teh Ice
476,Teh-O-Ice
477,Plain Thosai
478,Dum Biryani Chicken
479,Teh O Iced
480,Teh Iced
481,Chicken Briyani W / Fry Sambal
482,C712 Pad Thai Noodle with Prawn
483,C901 Iced Thai Milk Tea
484,C101 Deep-fried Tofu with Thai Chilli Sauce 炸豆腐配泰式辣椒酱.
485,C207 Clear Tom Yum Seafood Soup
486,Mala Potato 麻辣土豆
487,Spicy Ear Flap 脆辣猪耳尖
488,Mala Cuttlefish 麻辣鱿鱼须
489,Mala Bean Curd Sheet 麻辣豆皮
490,Mala Quail Egg 麻辣鹌鹑蛋
491,Braised Duck Neck 卤香鸭脖
492,Mala Bean Curd Skin 麻辣腐竹
493,Mala Kelp 麻辣海带结
494,Mala Wingette 麻辣鸡中翅
495,Mala Bean Curd Sheet 麻辣豆皮
496,Mala Cuttlefish 麻辣鱿鱼须
497,Mala Beef Tripe 麻辣牛百叶
498,Mala Quail Egg 麻辣鹌鹑蛋
499,Mala Kelp 麻辣海带结
500,Mala Bean Curd Skin 麻辣腐竹
501,Mala Quail Egg 麻辣鹌鹑蛋
502,Mala Bean Curd Skin 麻辣腐竹
503,Spicy Ear Flap 脆辣猪耳尖
504,Braised Duck Neck 卤香鸭脖
505,Mala Cuttlefish 麻辣鱿鱼须
506,Mala Potato 麻辣土豆
507,Mala Kelp 麻辣海带结
508,Volcano Ramen
509,Ajisen Ramen
510,Nankotsu Ramen
511,Prosperity Beef Feast
512,Quorn® Japanese Curry Wholegrain Mixed Rice Bowl
513,WHOLEMEAL Kaya Cheese Pancake
514,3 in 1 Riceballs
515,Oyster Sauce Small Cabbage 小白菜
516,Yam Rice 芋头饭
517,Steamed Egg Tofu 蛋闷豆腐
518,Mushroom Fish Maw Chicken Soup 佛跳墙
519,Vegetable of The Day
520,Mutton Dum Briyani
521,Kway Chap  粿汁
522,Kway Chap Set (1 Pax  粿汁套餐 一人)
523,Laksa Yong Tau Foo
524,Fry Lettuce
525,Signature Rice Noodle 招牌过桥米线
526,Set A
527,Set A
528,5 Pcs (Bowl) No Separation Of Sauce
529,Thai Green Curry
530,"Hor Fun with Pork, Prawn & Fish"
531,"Hor Fun with Pork, Prawn & Fish"
532,"Hor Fun with Pork, Prawn & Fish"
533,Miso Soup 
534,Combo Beef and Salmon
535,3 Pax Bundle
536,Tori Karaage Kushi (TA)
537,Pork Belly Kushi
538,Enoki Mushroom Wrapped with Pork Belly Kushi
539,262. Stir-Fried Noodle with Bean Sprout and Soy Sauce
540,Jumbo Beef Pepper Rice
541,Kimly Claypot Curry Fish Head 金味咖喱鱼头
542,Cheesy Zinger Double Down Meal
543,Original Recipe Chicken
544,Nasi Lemak with Chicken Cutlet + 1 Selected Drink
545,Fried Bun
546,Whole Spring Plate
547,Whole Spring Plate
548,Fried Bun
549,Medium Spicy 中辣
550,Medium Spicy 中辣
551,Medium Spicy 中辣
552,Steamed Rice
553,Penne Beef Bolognese
554,Plain Prata
555,Mee Goreng
556,Roasted Duck Roasted Char Siew Set Meal 烧鸭叉烧套餐
557,XXL Crispy Chicken
558,Handmade Oyster Mee Sua Value Set
559,Spam Fries午餐肉薯条
560,Bulgogi Rice 韩式烤肉饭
561,Small
562,Signature Grilled Chicken Chop + 1/2 Slab Signature Roasted BBQ Ribs Meal for 2
563,GK106. Kani Salad Gunkan
564,GK112. Corn Gunkan
565,YK104. Hotate Tobimayo
566,2 x Spicy Chicken McNuggets® (9pc) Special
567,Chocolate Pie
568,Chocolate Pie
569,McGriddles Feast
570,Spicy Chicken McNuggets® (9pc) Special
571,Chocolate Pie
572,White Pepper with Pig’s Stomach Soup ⽩胡椒猪肚汤
573,Buddha Jump Over the Wall Soup 迷你佛跳墙
574,White Pepper with Pig’s Stomach Soup ⽩胡椒猪肚汤
575,Finger Food Platter
576,French Fries
577,Signature Kaya Pandan Muffin
578,Kaya Balls
579,Signature Kaya Pandan Muffin
580,Kaya Balls
581,Banana Walnut Muffin Set
582,Banana Walnut Muffin
583,Kaya Toast with Peanut
584,2 Pcs Fried Chicken Meal
585,"S4. Singapore Bee Hoon, Prawn Paste Wings, Sunny Egg 星州米粉+虾酱鸡+荷包蛋  FOC 1x Canned Drink 附送1个罐装水"
586,Hazelnut Mee Chiang Kueh
587,Grass Jelly Soy 仙草豆浆
588,Red Bean Mini Rolls 迷你红豆沙
589,Peanut Mini Rolls 迷你碎花生
590,Peanut Mini Rolls 迷你碎花生
591,Hazelnut Mee Chiang Kueh
592,Peanut Mee Chiang Kueh 花生面煎糕
593,Red Bean Mini Rolls 迷你红豆沙
594,Chewy Pearls Soy 珍珠豆浆
595,Hazelnut Mee Chiang Kueh
596,Chocolate Fudge Maru 煎糕巧克力
597,Red Bean Mini Rolls 迷你红豆沙
598,Grass Jelly Soy 仙草豆浆
599,Chocolate Fudge Maru 煎糕巧克力
600,Gula Melaka Beancurd 豆花椰糖
601,Grass Jelly Soy 仙草豆浆
602,Peanut Mini Rolls 迷你碎花生
603,Red Bean Mini Rolls 迷你红豆沙
604,Popcorn Shrimp
605,Deep-fried Spring Rolls 
606,51. Thai Omelette with Prawn
607,Deep-fried Spring Rolls 
608,53. Fried Egg
609,Oil Rice 油饭
610,Chicken Gizzard 鸡内脏
611,Half 半只
612,Chicken Gizzard 鸡内脏
613,Half 半只
614,Oil Rice 油饭
615,Chicken Gizzard 鸡内脏
616,Oil Rice 油饭
617,Half 半只
618,Cheesy Fried Wanton 芝士炸云吞
619,Wanton Noodle Dry+6Pcs  Wanton Soup
620,Fried Wanton  炸云吞
621,云吞面干+6粒炸云吞
622,Iced Kopi Melaka (Large)
623,2 Ham & Cheese Sandwich Set + 2 Sides
624,Any 5 Buns Bundle
625,Any 5 Buns Bundle
626,Bak Kwa Fried Rice Set
627,Traditional Kaya Toast
628,Golden Yam Cake Set
629,Kaya Thick Toast
630,Golden Yam Cake
631,Crispy Pan Seared Salmon
632,Chicken Confit Ramen
633,Tuna Pancake
634,Ginger Soup  Beancurd with Riceballs
635,Cheese Pancake
636,Garlic Aioli Impossible
637,3pc Tenders Meal
638,5. Kimchi Fried Rice
639,21. Kimchi Pancake
640,Simply Chocolate
641,McGriddles Feast
642,Seollueong Tang
643,La Galbi Set
644,Mushroom Cheese Prata
645,Mushroom Cheese Prata
646,Mushroom Cheese Prata
647,1/2 Ltr with 3 Toppings
648,Ambrosia Smoothie
649,M14. Scallop Porridge 金银带子粥
650,M6. Sliced Lean Meat & Century Egg Porridge 皮蛋瘦肉粥
651,Tandoori Chicken & Naan Set
652,Plain Naan
653,Tea with Iced
654,Tandoori Chicken & Naan Set
655,Tea O
656,Madura's Special Curd Rice
657,Make Your Own Set 自己设定
658,Make Your Own Set 自己设定
659,Pork & Chicken Set (200g)
660,Mini Choregi Salad
661,Begedil 炸马铃薯饼
662,Ayam Penyet 印尼炸鸡
663,Ayam Penyet 印尼炸鸡
664,Begedil 炸马铃薯饼
665,Ayam Penyet 印尼炸鸡
666,Begedil 炸马铃薯饼
667,Ayam Penyet 印尼炸鸡
668,Begedil 炸马铃薯饼
669,Fried Rice With Signature Crab Meat 招牌蟹肉炒饭
670,Seafood Stir-Fried Mee Sua 海鲜干炒面线
671,You Mee Soup 幼面汤
672,Chicken Porridge 鸡丝粥
673,Yi Mian Soup 伊面汤
674,Mee Hoon Kuey Soup 面粉粿汤
675,Fried Salmon with Special Sauce & Rice Set
676,Dolsol Bibimbap Chicken
677,Kimchi Fried Rice
678,22.Chicken Curry Rice 鸡扒咖喱饭 
679,12.Ebi Fried + Teriyaki Chicken Bento 炸虾+照烧鸡扒饭盒 
680,25.Oyako Don 亲子丼 
681,Black Pepper Chicken & Ham Fried Udon
682,Tempura Prawn
683,GF02. Flame Grilled Chicken With Black Pepper Sauce
684,B06. Monster Beef Burger
685,B01. Tartar Fish Burger
686,Fried Beef Bee Hoon 炒牛肉米粉
687,Mui Fan
688,Blackbeans Beef Hor Fun 黑豆牛肉河粉
689,Sweet & Sour Pork Rice 甜酸古咯肉饭
690,Fried Beef Noodles 炒牛肉面
691,Mixed Hor Fun 河粉
692,Salted Egg Pork Ribs Rice 咸蛋排骨饭
693,Mixed Hor Fun 河粉
694,Blackbeans Beef Hor Fun 黑豆牛肉河粉
695,Fried Beef Bee Hoon 炒牛肉米粉
696,Double Cooked Meat With Rice 回锅肉盖饭
697,Ding Ding Fried Noodles 丁丁炒面
698,Fried Dumplings 锅贴
699,Tomato Egg Dry Noodles 番茄鸡蛋拌面
700,Fried Dumplings 锅贴
701,Hot & Spicy Noodles 酸辣粉
702,Tomato Egg Dry Noodles 番茄鸡蛋拌面
703,Ding Ding Fried Noodles 丁丁炒面
704,Rice 白饭
705,Dry 干
706,Roast Chix Rice
707,Roast Chix Rice
708,Roast Chix Rice
709,Roast Chix Rice
710,Roast Chix Rice
711,Roast Chix Rice
712,Roast Chix Rice
713,Roast Chix Drumstick Rice
714,Basil Minced Chicken with Rice 九层塔鸡肉碎饭
715,Saveur Thai Fried Rice with Prawn 招牌虾仁炒饭
716,Pandan Chicken (4 pcs) 斑兰鸡 (4个)
717,Chicken Phad Thai 鸡肉泰式炒粿条
718,Cumin Beef 孜然牛肉
719,Dumplings 10pc 水饺 (10 立)
720,Broccoli Stir-fried Prawn Dish 西兰花虾球
721,White Rice 白米饭
722,Ma La Xiang Guo 麻辣香锅
723,Ma La Xiang Guo 麻辣香锅
724,"(01-52) Bee Hoon Set Chicken Wing, Ngoh Hiang, Luncheon Meat, Fried Egg"
725,(01-68) Youtiao 3pcs
726,23. Special Dairy Salted Buns
727,35. Sausage Chicken Rice
728,41. Delicious Scallop Congee
729,46. Sesame Mango Shrimp Rolls
730,9. Shrimp Dumplings
731,Chicken Nuggets (5 Pcs)
732,Garlic Toast (1 Pc)
733,Served without Fries
734,Swensen's Impossible Burger
735,Turkey Ham with Egg CROISSAN'WICH® 
736,Pancakes Platter 
737,Turkey Sausage with Egg CROISSAN'WICH® Meal
738,4. Bee Hoon Soup (米粉汤)
739,2. Koo Kee Special Noodle (高记招牌面)
740,2. Koo Kee Special Noodle (高记招牌面)
741,4. Bee Hoon Soup (米粉汤)
742,2. Koo Kee Special Noodle (高记招牌面)
743,1. Thai Style Fried Bean Curd 泰式风味炸豆腐 (泰式辣椒)
744,4. Bee Hoon Soup (米粉汤)
745,5. Yong Tow Foo Soup (酿豆腐汤)
746,3 in 1 Riceballs
747,Cheese Pancake
748,Curry Chicken with Rice + Fried Bee Hoon + Ham and Cheese Sandwich
749,67. Triple Cup Chicken 三杯鸡
750,Buffalo Wings
751,The Philz
752,The Cowboy
753,The Impossible
754,The Aloha
755,Pork Ribs Rice 排骨王饭
756,XXL Crispy Chicken
757,Ovaltine Large
758,Mango Four Seasons Tea Large
759,Dory Porridge
760,Roasted Chicken Rice
761,Mee Rebus Value Meal
762,Red Grouper Sliced Fish Soup 红斑鱼片汤
763,Supercut Strip Loin Steak
764,109 Twin Chicken Platter
765,Tau Suan 豆爽
766,Peanut Sesame Ball 花水球
767,Fried 3 in 1 Chinese New Year Sweet Cake 炸年糕
768,Pulut Hitam
769,You Tiao 油条
770,Grass Jelly
771,Yellow Bean Sesame Ball 黄豆球
772,Butterfly 蝴蝶
773,Warm Soya Milk
774,Fried Tapioca 炸木薯
775,Peanut Sesame Ball 花水球
776,Pulut Hitam
777,Fried 3 in 1 Chinese New Year Sweet Cake 炸年糕
778,You Tiao 油条
779,Butterfly 蝴蝶
780,Warm Soya Milk
781,Cold
782,Yellow Bean Sesame Ball 黄豆球
783,Red Bean Bun
784,Yellow Bean Sesame Ball 黄豆球
785,Tau Suan 豆爽
786,Pulut Hitam
787,Fried Tapioca 炸木薯
788,Fried 3 in 1 Chinese New Year Sweet Cake 炸年糕
789,Butterfly 蝴蝶
790,Red Bean Bun
791,Peanut Sesame Ball 花水球
792,You Tiao 油条
793,Bittergourd Sliced Fish Soup 苦瓜鱼片汤
794,Bittergourd Sliced Fish Soup 苦瓜鱼片汤
795,Texas Chicken Double Toast
796,McGriddles Feast
797,1/2 Chicken and 2 Regular Sides
798,1/2 Chicken and 2 Regular Sides
799,Chicken Wing
800,Chicken Mushroom'O
801,Curry'O
802,Store-selected Half Dozen
803,Fishball Noodle Set A (with whole fishcake)
